PainLocation,AgeGroup,Intensity,Capacity,RecommendedExercise,Frequency
PCOS,Teen,Low,Advanced,Yoga,Weekly
Osteoporotic,Senior,High,Beginner,Balance Exercises,Daily
PCOS,Teen,Low,Beginner,Cardio Exercises,Bi-Weekly
Elbow,Adult,Low,Intermediate,Tricep Dips,Weekly
PCOS,Senior,Low,Advanced,Cardio Exercises,Weekly
Neck,Teen,High,Intermediate,Neck Rotations,Weekly
Osteoporotic,Child,Medium,Advanced,Balance Exercises,Bi-Weekly
Osteoporotic,Senior,Medium,Intermediate,Weight Training,Bi-Weekly
Back,Senior,Low,Intermediate,Deadlifts,Weekly
Osteoporotic,Teen,Low,Beginner,Tai Chi,Bi-Weekly
Shoulder,Senior,Low,Advanced,Wall Push-ups,Daily
Knee,Senior,Medium,Advanced,Lunges,Bi-Weekly
Shoulder,Child,Low,Beginner,Arm Circles,Bi-Weekly
Shoulder,Adult,High,Intermediate,Shoulder Rolls,Weekly
Osteoporotic,Child,High,Advanced,Weight Training,Daily
Back,Child,Low,Intermediate,Superman Exercise,Bi-Weekly
Neck,Adult,Medium,Advanced,Neck Rotations,Daily
Neck,Adult,Low,Intermediate,Neck Rotations,Weekly
Shoulder,Adult,High,Intermediate,Arm Circles,Weekly
Neck,Senior,High,Intermediate,Neck Tilts,Daily
Shoulder,Teen,Low,Beginner,Wall Push-ups,Daily
PCOS,Adult,Medium,Advanced,Cardio Exercises,Weekly
Back,Teen,Medium,Beginner,Deadlifts,Bi-Weekly
Ankle,Adult,Low,Beginner,Ankle Circles,Bi-Weekly
Elbow,Teen,Low,Beginner,Resistance Band Curls,Daily
Elbow,Senior,High,Advanced,Wrist Flexor Stretch,Bi-Weekly
Back,Senior,High,Beginner,Deadlifts,Daily
Shoulder,Senior,Medium,Beginner,Arm Circles,Daily
Elbow,Teen,Medium,Intermediate,Resistance Band Curls,Weekly
Knee,Teen,Low,Beginner,Squats,Bi-Weekly
PCOS,Child,Medium,Advanced,Strength Training,Weekly
Knee,Senior,Medium,Intermediate,Leg Raises,Daily
Osteoporotic,Senior,Medium,Beginner,Tai Chi,Daily
Ankle,Adult,Medium,Advanced,Toe Walks,Bi-Weekly
Knee,Senior,Medium,Beginner,Squats,Weekly
PCOS,Teen,Medium,Beginner,Yoga,Bi-Weekly
PCOS,Adult,Low,Advanced,Cardio Exercises,Daily
Back,Senior,High,Advanced,Deadlifts,Weekly
Osteoporotic,Child,Medium,Beginner,Balance Exercises,Daily
Back,Child,High,Beginner,Deadlifts,Bi-Weekly
Osteoporotic,Teen,Low,Advanced,Weight Training,Daily
Shoulder,Teen,Low,Beginner,Shoulder Rolls,Daily
Neck,Child,Low,Intermediate,Neck Rotations,Weekly
Elbow,Adult,High,Beginner,Wrist Flexor Stretch,Bi-Weekly
Knee,Child,Low,Intermediate,Leg Raises,Weekly
Osteoporotic,Child,High,Intermediate,Tai Chi,Daily
PCOS,Teen,Medium,Intermediate,Yoga,Daily
PCOS,Senior,High,Advanced,Yoga,Daily
Neck,Teen,High,Beginner,Shoulder Shrugs,Daily
Ankle,Adult,Low,Advanced,Toe Walks,Daily
Knee,Teen,Low,Beginner,Leg Raises,Weekly
PCOS,Adult,Medium,Beginner,Yoga,Weekly
PCOS,Teen,Low,Beginner,Yoga,Daily
Back,Senior,Low,Intermediate,Superman Exercise,Daily
Back,Child,Medium,Beginner,Deadlifts,Daily
PCOS,Teen,Low,Intermediate,Yoga,Weekly
Shoulder,Teen,Medium,Beginner,Arm Circles,Bi-Weekly
PCOS,Adult,Medium,Advanced,Strength Training,Weekly
PCOS,Child,Low,Beginner,Yoga,Bi-Weekly
Ankle,Child,High,Intermediate,Calf Raises,Daily
Ankle,Teen,Medium,Advanced,Ankle Circles,Daily
Neck,Teen,Low,Intermediate,Shoulder Shrugs,Bi-Weekly
Neck,Adult,High,Beginner,Neck Tilts,Daily
Back,Child,High,Intermediate,Superman Exercise,Daily
Ankle,Child,High,Intermediate,Toe Walks,Daily
PCOS,Teen,High,Advanced,Cardio Exercises,Daily
Shoulder,Senior,High,Beginner,Shoulder Rolls,Daily
Osteoporotic,Child,Low,Intermediate,Balance Exercises,Bi-Weekly
Neck,Child,Medium,Advanced,Neck Rotations,Bi-Weekly
Knee,Adult,Low,Intermediate,Lunges,Weekly
Neck,Adult,High,Intermediate,Neck Rotations,Weekly
Neck,Child,Low,Beginner,Neck Rotations,Daily
Back,Teen,High,Intermediate,Deadlifts,Daily
Knee,Teen,High,Advanced,Squats,Daily
PCOS,Child,High,Intermediate,Strength Training,Daily
Back,Senior,Medium,Intermediate,Superman Exercise,Daily
PCOS,Child,High,Beginner,Cardio Exercises,Bi-Weekly
Neck,Child,High,Beginner,Neck Tilts,Daily
Ankle,Teen,High,Beginner,Toe Walks,Weekly
Knee,Adult,High,Advanced,Lunges,Daily
Osteoporotic,Teen,Low,Beginner,Balance Exercises,Weekly
Back,Teen,High,Intermediate,Cat-Cow Stretch,Daily
Osteoporotic,Child,High,Intermediate,Weight Training,Bi-Weekly
Elbow,Senior,Medium,Intermediate,Tricep Dips,Bi-Weekly
Osteoporotic,Child,Low,Beginner,Tai Chi,Bi-Weekly
Osteoporotic,Teen,Low,Advanced,Weight Training,Weekly
Ankle,Adult,Low,Beginner,Toe Walks,Bi-Weekly
Neck,Teen,Medium,Advanced,Shoulder Shrugs,Weekly
Shoulder,Adult,High,Advanced,Shoulder Rolls,Bi-Weekly
PCOS,Senior,Low,Beginner,Yoga,Bi-Weekly
Osteoporotic,Teen,Low,Intermediate,Tai Chi,Bi-Weekly
Neck,Teen,Medium,Beginner,Neck Rotations,Bi-Weekly
Knee,Child,High,Beginner,Leg Raises,Weekly
Elbow,Senior,Medium,Intermediate,Resistance Band Curls,Weekly
Ankle,Child,Low,Beginner,Toe Walks,Weekly
Ankle,Adult,Medium,Intermediate,Calf Raises,Bi-Weekly
PCOS,Senior,Medium,Beginner,Strength Training,Weekly
Ankle,Adult,High,Beginner,Ankle Circles,Weekly
Knee,Adult,High,Beginner,Lunges,Weekly
Ankle,Teen,Low,Advanced,Calf Raises,Bi-Weekly
Shoulder,Child,Low,Intermediate,Arm Circles,Daily
Ankle,Senior,Low,Intermediate,Toe Walks,Bi-Weekly
Neck,Adult,Low,Intermediate,Neck Tilts,Daily
Shoulder,Senior,Medium,Advanced,Arm Circles,Daily
Shoulder,Adult,Medium,Intermediate,Arm Circles,Bi-Weekly
Shoulder,Teen,Low,Advanced,Wall Push-ups,Daily
Elbow,Adult,Low,Advanced,Wrist Flexor Stretch,Bi-Weekly
Knee,Senior,High,Advanced,Lunges,Weekly
Knee,Adult,High,Intermediate,Leg Raises,Weekly
Ankle,Senior,Low,Intermediate,Ankle Circles,Weekly
PCOS,Senior,Medium,Advanced,Cardio Exercises,Weekly
Elbow,Teen,Low,Beginner,Wrist Flexor Stretch,Daily
Back,Adult,Medium,Beginner,Superman Exercise,Weekly
Osteoporotic,Child,High,Beginner,Balance Exercises,Bi-Weekly
Back,Senior,Medium,Intermediate,Cat-Cow Stretch,Daily
Neck,Child,Low,Intermediate,Neck Rotations,Weekly
Neck,Teen,High,Beginner,Neck Tilts,Daily
Back,Child,Low,Intermediate,Deadlifts,Weekly
Back,Child,High,Beginner,Deadlifts,Weekly
Elbow,Child,Medium,Intermediate,Resistance Band Curls,Bi-Weekly
Knee,Child,High,Beginner,Leg Raises,Bi-Weekly
Neck,Child,Medium,Beginner,Neck Tilts,Daily
Neck,Senior,High,Beginner,Neck Rotations,Daily
Knee,Teen,Low,Advanced,Squats,Weekly
Shoulder,Adult,Low,Advanced,Wall Push-ups,Daily
Elbow,Teen,Low,Beginner,Resistance Band Curls,Weekly
Neck,Child,Low,Beginner,Shoulder Shrugs,Bi-Weekly
Neck,Child,Medium,Advanced,Shoulder Shrugs,Weekly
Elbow,Adult,High,Beginner,Resistance Band Curls,Daily
Shoulder,Child,High,Advanced,Wall Push-ups,Weekly
Elbow,Teen,Low,Beginner,Resistance Band Curls,Bi-Weekly
Knee,Senior,Low,Intermediate,Squats,Bi-Weekly
Back,Teen,High,Beginner,Deadlifts,Daily
Shoulder,Senior,Medium,Advanced,Arm Circles,Bi-Weekly
Shoulder,Teen,Low,Advanced,Wall Push-ups,Daily
Neck,Adult,Low,Advanced,Neck Tilts,Bi-Weekly
PCOS,Teen,Medium,Intermediate,Cardio Exercises,Daily
Ankle,Adult,High,Advanced,Toe Walks,Bi-Weekly
Elbow,Child,Medium,Advanced,Wrist Flexor Stretch,Weekly
Elbow,Adult,Medium,Advanced,Wrist Flexor Stretch,Weekly
Knee,Teen,Medium,Intermediate,Squats,Daily
Ankle,Senior,Low,Intermediate,Toe Walks,Weekly
Knee,Adult,Medium,Intermediate,Squats,Weekly
PCOS,Adult,Low,Advanced,Yoga,Weekly
Knee,Teen,Medium,Beginner,Lunges,Bi-Weekly
Knee,Child,High,Beginner,Lunges,Weekly
Knee,Child,High,Beginner,Lunges,Daily
Osteoporotic,Senior,High,Advanced,Tai Chi,Daily
Elbow,Senior,Low,Beginner,Resistance Band Curls,Weekly
Shoulder,Child,High,Intermediate,Arm Circles,Bi-Weekly
Neck,Senior,Low,Beginner,Neck Tilts,Bi-Weekly
Ankle,Adult,Low,Beginner,Toe Walks,Daily
PCOS,Senior,Medium,Intermediate,Yoga,Weekly
Neck,Adult,Low,Intermediate,Neck Tilts,Weekly
Ankle,Teen,High,Advanced,Ankle Circles,Daily
Knee,Adult,Medium,Beginner,Leg Raises,Daily
Neck,Senior,High,Beginner,Neck Tilts,Weekly
PCOS,Child,Medium,Advanced,Cardio Exercises,Weekly
Knee,Child,Medium,Intermediate,Leg Raises,Bi-Weekly
Elbow,Senior,Medium,Beginner,Wrist Flexor Stretch,Bi-Weekly
Knee,Child,Medium,Beginner,Leg Raises,Weekly
Osteoporotic,Senior,Medium,Beginner,Tai Chi,Bi-Weekly
Neck,Teen,Medium,Intermediate,Neck Rotations,Bi-Weekly
Osteoporotic,Senior,High,Beginner,Weight Training,Bi-Weekly
Back,Teen,Low,Beginner,Deadlifts,Bi-Weekly
Neck,Teen,High,Beginner,Shoulder Shrugs,Weekly
Ankle,Teen,High,Beginner,Calf Raises,Daily
Elbow,Child,High,Intermediate,Resistance Band Curls,Bi-Weekly
Elbow,Adult,Medium,Advanced,Resistance Band Curls,Daily
PCOS,Teen,Medium,Beginner,Yoga,Bi-Weekly
Elbow,Adult,High,Intermediate,Tricep Dips,Daily
Osteoporotic,Senior,High,Beginner,Tai Chi,Weekly
Knee,Adult,High,Beginner,Leg Raises,Weekly
Shoulder,Senior,Medium,Advanced,Wall Push-ups,Bi-Weekly
Osteoporotic,Adult,Low,Intermediate,Weight Training,Bi-Weekly
Shoulder,Senior,High,Beginner,Shoulder Rolls,Daily
PCOS,Teen,Medium,Advanced,Yoga,Bi-Weekly
